#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B21071
#Date Time: 2024-01-23 17:43:32.480
#Start: 2 Hz
#Stop: 200 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.57123 V
#Offset: -0.000250932 V
#Relative: no
#Channel: Channel 2
#Range: 5.61748 V
#Offset: -0.000120193 V
#Relative: yes
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 3.3 V
#Negative Supply: OFF
#Voltage: -1 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
2,0.1103583137274474,-0.09396661831511094,1.125832336580658
2.062354549186111,0.1166034189087775,-0.1003291731242404,1.163565332241582
2.126653143274322,0.1233645851419719,-0.1072379190151375,1.203721028514032
2.192956392286371,0.1308087416159384,-0.1149395008451509,1.246197189575247
2.261326795899278,0.1389107238131884,-0.123046070461295,1.290980196713932
2.331828802359664,0.1474493786885995,-0.1318659728582814,1.337885423465536
2.404528869234827,0.1565605043719025,-0.1411064810943162,1.387978478765433
2.479495526057888,0.1661996317045594,-0.1508721674216537,1.438175601016709
2.556799438926048,0.1768644579073382,-0.1617983868840614,1.494039747585759
2.636513477112815,0.1875301629203821,-0.1727954189254748,1.548506501952403
2.718712781757052,0.1992993949582196,-0.1848589358403873,1.607037981274004
2.803474836693541,0.2115808256126601,-0.1976323922617056,1.665966111436134
2.890879541491855,0.2245889431527729,-0.2107799947869048,1.729115287898431
2.981009286772393,0.2388026055840921,-0.2253382396060272,1.794823246972101
3.073949031870544,0.2530272509333352,-0.2401107431990988,1.861340562088213
3.169786384922227,0.2688861295021001,-0.2561293741403412,1.931671757205592
3.268611685446276,0.2853919997773842,-0.272884573415313,2.005271618131303
3.370518089501503,0.3027106753952779,-0.290700302516309,2.081846705058581
3.475601657498752,0.3210715515502521,-0.3094036378927146,2.159626305300065
3.583961444750669,0.3401216406837574,-0.3287824074266531,2.2429849263211
3.695699594844582,0.3604966847195831,-0.3500430824374661,2.329445462953885
3.810921435926495,0.3821839103844037,-0.3723296698121563,2.424933602337495
3.929735579986936,0.4059534901741392,-0.3967513962400127,2.526232770303178
4.052254025242287,0.4311319203294712,-0.4226661340605481,2.64412384005314
4.17859226170808,0.457860687930049,-0.4501487856719088,2.769963396787759
4.308869380063767,0.4853557643643627,-0.4785747162897135,2.904932515739517
4.443208183911624,0.5140699161575844,-0.5079500884285467,3.043780243437894
4.581735305535545,0.5434146062816019,-0.5382276657486195,3.188162219856494
4.724581325268924,0.573722421355088,-0.569541609968891,3.33959266346701
4.871880894584055,0.6040855821357629,-0.6009908361545837,3.495073900161977
5.023772863019159,0.6349846435864021,-0.6332026231293453,3.655677150564799
5.180400409062648,0.6668010691950275,-0.6661881066697368,3.821166637367298
5.341911175117971,0.700565371243938,-0.6992093379211766,3.989538835666707
5.508457406676333,0.7312902448310755,-0.7334937264833462,4.166491526445668
5.680196095828431,0.7647661136036353,-0.7681922712039913,4.346226320244476
5.857289129250475,0.7987554623353542,-0.8039466402581446,4.534688801760154
6.039903440804033,0.8331059670168699,-0.8399986215193324,4.728443822773585
6.22821116889352,0.8682480307324996,-0.8766834404983254,4.932465655331761
6.422389818729648,0.9035786079658347,-0.9136599457422788,5.140956740150848
6.622622429651823,0.9393158400132442,-0.9516070962063666,5.362325222350407
6.829097747667202,0.9758693465842467,-0.9902464867903177,5.594523602854906
7.042010403369039,1.012971710798916,-1.029608471379627,5.837361156223139
7.261561095402029,1.050518987025925,-1.069703262948336,6.092311174939983
7.487956779647623,1.088181732899369,-1.109872256320017,6.363288049634491
7.721410864307627,1.126234438939382,-1.150699129920254,6.645883800735021
7.962143411069948,1.166364017842255,-1.192847927637789,6.941141523609804
8.210381342546158,1.208084083676815,-1.235239118071815,7.247006645553462
8.466358656176419,1.250638801322391,-1.278001496345634,7.567942189483773
8.730316644803324,1.294179561200013,-1.321182168017164,7.90188049289668
9.002504124122675,1.339364872577107,-1.365053414130986,8.247965301900969
9.283177667225557,1.386278064937822,-1.409238396489974,8.601503634275986
9.572601846452772,1.434857846140961,-1.454342387154652,8.962228466325968
9.871049482789614,1.485301975520858,-1.50069961157059,9.324628871368709
10.17880190303618,1.535951141738873,-1.549022522100999,9.686241272543612
10.49614920499545,1.587659923449798,-1.599655396428373,10.03990282681556
10.82339053092928,1.640515861272894,-1.65502654955525,10.38066569249053
11.16083434953993,1.692962437331657,-1.715547978733869,10.7046461446057
11.50879874674314,1.743288446255493,-1.781796727624367,11.02576644515563
11.86761172550656,1.789441821580309,-1.853678040456149,11.3539472271885
12.23761151503644,1.828794559658029,-1.930380143924338,11.7035733591986
12.61914688960387,1.859297784411295,-2.011316991966589,12.0746793602149
13.01257749731115,1.880222238866705,-2.097532964238684,12.46105599571558
13.41827419910823,1.890957929831638,-2.191163181754078,12.84866937145333
13.83661941837873,1.888213274457883,-2.295089799113088,13.23969009673442
14.26800750142513,1.864189651760152,-2.412012651818951,13.65540117426458
14.71284508919283,1.808488992621706,-2.543666427697025,14.12969558329036
15.17155150058367,1.71420036563585,-2.692276507584573,14.694253449043
15.64455912772005,1.581319465209092,-2.858758265329262,15.36819505749988
16.13231384353227,1.415251907818605,-3.044593065726034,16.16090321491274
16.63527542205342,1.222088689372562,-3.249584283663029,17.08268802730457
17.15391797181789,1.008352171082893,-3.474175219682209,18.13984417979759
17.688730382772,0.7792650014584691,-3.719979765151627,19.34526815050312
18.2402167871182,0.5382613642196175,-3.987599947620064,20.72310410225725
18.80889703452704,0.287607923931325,-4.278660776438217,22.29278648662645
19.39530718216499,0.02947943640581574,-4.593359243732196,24.09365027810395
20,-0.2348635500344977,-4.933717773780312,26.15920550674243
20.62354549186111,-0.5049300487081465,-5.299076185009744,28.54779419533537
21.26653143274322,-0.7792455871297931,-5.689993132746763,31.32392183178788
21.9295639228637,-1.058583120037523,-6.102159407769746,34.56601706141876
22.61326795899278,-1.341373206212848,-6.532195595151657,38.37213296314573
23.31828802359664,-1.627873936276622,-6.968378194311832,42.85295088325111
24.04528869234827,-1.918174351755748,-7.393862820610453,48.1291824204223
24.79495526057888,-2.211323035210019,-7.78115312720507,54.31193142823042
25.56799438926048,-2.508346331998466,-8.091424876372161,61.46884046668703
26.36513477112815,-2.809317996996603,-8.273297843173154,69.56063328121489
27.18712781757052,-3.112942502284577,-8.27690538170496,78.39491962418339
28.03474836693541,-3.420254081615087,-8.061288381774695,87.62179990155846
28.90879541491855,-3.732243791533997,-7.614247444766155,96.76893267922821
29.81009286772392,-4.047477243920848,-6.959490381123736,105.4016191737213
30.73949031870544,-4.367366747028255,-6.140143254277738,113.2064284407687
31.69786384922227,-4.691025543126194,-5.210006309393691,120.0556438364721
32.68611685446276,-5.020579511680401,-4.21463279717853,125.9418686653466
33.70518089501503,-5.35490092320811,-3.188850321987189,130.9630262405671
34.75601657498751,-5.695093945646109,-2.155407105211325,135.2320632633907
35.83961444750668,-6.041123862937203,-1.130688547236105,138.8690310985315
36.95699594844582,-6.393254918869673,-0.1221612292476792,141.9891823583624
38.10921435926495,-6.753737007127548,0.868477664625505,144.6705094070331
39.29735579986934,-7.122835914441549,1.838507212378348,146.9974174354028
40.52254025242287,-7.501352616950935,2.789784268727207,149.0378106802947
41.7859226170808,-7.890292472617415,3.722950196678349,150.8416952915818
43.08869380063767,-8.292913580024807,4.641878838206102,152.4491772951031
44.43208183911624,-8.710340992487028,5.548935035833376,153.9017358416952
45.81735305535548,-9.145526468205315,6.448477824832217,155.2148104895256
47.24581325268924,-9.602108298607529,7.344617639935879,156.438302435911
48.71880894584055,-10.08529753643414,8.242949743318965,157.5726219895031
50.2377286301916,-10.60220706653137,9.150361629555109,158.6720146448625
51.80400409062648,-11.16833164163412,10.08239043821316,159.7509594517958
53.41911175117971,-11.80455265458819,11.0579315538102,160.861541337829
55.08457406676333,-12.55700588440224,12.11967077427104,162.0642462357134
56.80196095828431,-13.70022408696725,13.53620097801772,163.5503732340345
58.57289129250472,-15.9675839235132,15.91216023855281,164.7820906627727
60.39903440804033,-17.57825314343244,17.5365240994607,164.9267290366578
62.2821116889352,-18.7853480536578,18.7511927662647,164.9181376742584
64.22389818729646,-19.79853336184426,19.76948389637455,164.9005623149273
66.22622429651823,-20.70343525391745,20.67833474105243,164.8979853566885
68.29097747667207,-21.52684899209072,21.50518734423766,164.9347001776392
70.42010403369039,-22.29001616253318,22.27096000388585,164.9488223974408
72.6156109540203,-23.01381843328606,22.99697005592968,165.0314664370771
74.87956779647622,-23.70656776857935,23.69229185272749,165.1143389422737
77.21410864307627,-24.3631333588512,24.3505354854856,165.2061069192781
79.62143411069947,-25.00035810434547,24.98991028209872,165.3087108153287
82.10381342546158,-25.61491856602461,25.60623885595207,165.398550005531
84.66358656176419,-26.2166404294588,26.20950713669085,165.5243064680888
87.30316644803318,-26.81100281565446,26.80533915827586,165.6210941846435
90.02504124122675,-27.38793754251411,27.38362643771053,165.7387221918448
92.83177667225561,-27.94678208082688,27.9437203377331,165.897836175111
95.72601846452767,-28.49735426803021,28.49541612752269,165.9828483595661
98.71049482789614,-29.06016140211747,29.05947940562995,166.1141738650296
101.7880190303619,-29.59078007859137,29.59080139698057,166.220485657271
104.9614920499545,-30.11505487209722,30.11642914505323,166.3538656538212
108.2339053092928,-30.65469443798406,30.65693819210353,166.4835490098783
111.6083434953993,-31.1684652723775,31.17164654825125,166.5836738973052
115.0879874674314,-31.69836952396955,31.70255562074537,166.6845607124832
118.6761172550656,-32.21785277347824,32.22314869791992,166.7960559168258
122.3761151503644,-32.73481698600299,32.74032009331167,166.8500422035137
126.1914688960387,-33.25665321716988,33.26261678617607,166.9871293767868
130.1257749731114,-33.75934646121608,33.76636844112384,167.1105755138137
134.1827419910823,-34.268888902432,34.27654744901163,167.1977962295803
138.3661941837873,-34.76729039175667,34.77540907649144,167.2861759240158
142.6800750142512,-35.27058891604219,35.27959571953352,167.3819570518255
147.1284508919283,-35.7710662358942,35.78048079542251,167.4474052017657
151.7155150058367,-36.25873339127257,36.26885339742565,167.5582364540694
156.4455912772005,-36.75644100362933,36.76715976234076,167.5694146474021
161.3231384353227,-37.24953079184138,37.26074948506385,167.689167633613
166.3527542205342,-37.76226172350651,37.77390525401711,167.7090932154826
171.5391797181788,-38.26370218333459,38.27593839918634,167.7812708064213
